trade_number,row_id,predicted_class,true_class,max_confidence,entry_price,future_return,spread_return,raw_trade_return,effective_raw_return,exit_reason,position_notional_usd,margin_required_usd,dynamic_sl_amount_usd,dynamic_tp_amount_usd,dynamic_sl_return,dynamic_tp_return,fee_cost,pnl,balance_before,balance_after,peak_balance,drawdown_pct,win_after_exit
51,2026-04-22 12:19:00,-1,-1,0.8544809902438274,1.1,-0.0016297613928258,0.0001786459403348,0.0014511154524910002,0.0014511154524910002,final_horizon,1100.0,0.55,2.566309482219183,5.132618964438366,0.0023330086201992575,0.004666017240398515,0.0,1.5962269977401002,25.66309482219183,27.25932181993193,27.25932181993193,0.0,True
52,2026-04-22 12:20:00,-1,-1,0.9003030910214819,1.1,-0.0018008796358931,0.0001786840177356,0.0016221956181575,0.0016221956181575,final_horizon,1100.0,0.55,2.725932181993193,5.451864363986386,0.0024781201654483576,0.004956240330896715,0.0,1.78441517997325,27.25932181993193,29.04373699990518,29.04373699990518,0.0,True
53,2026-04-22 12:21:00,-1,0,0.8556016019994416,1.1,-0.0012879428907709,0.0001787568203707,0.0011091860704002,0.0011091860704002,final_horizon,1100.0,0.55,2.9043736999905185,5.808747399981037,0.0026403397272641077,0.005280679454528215,0.0,1.22010467744022,29.04373699990518,30.2638416773454,30.2638416773454,0.0,True
54,2026-04-22 12:22:00,-1,0,0.8593438271739013,1.1,-0.0005633348195568,0.0001787553824522,0.00038457943710460004,0.00038457943710460004,final_horizon,1100.0,0.55,3.02638416773454,6.05276833546908,0.0027512583343041273,0.0055025166686082545,0.0,0.42303738081506004,30.2638416773454,30.68687905816046,30.68687905816046,0.0,True
55,2026-04-22 12:23:00,-1,0,0.7385777885899397,1.1,-0.0006918536657961,0.0001788395738763,0.0005130140919198,0.0005130140919198,final_horizon,1100.0,0.55,3.0686879058160463,6.137375811632093,0.0027897162780145877,0.0055794325560291754,0.0,0.56431550111178,30.68687905816046,31.25119455927224,31.25119455927224,0.0,True
56,2026-04-22 12:24:00,-1,0,0.7321157470275674,1.1,-0.0005635934236275,0.0001788779852819,0.0003847154383456,0.0003847154383456,final_horizon,1100.0,0.55,3.125119455927224,6.250238911854448,0.0028410176872065676,0.005682035374413135,0.0,0.42318698218016,31.25119455927224,31.674381541452398,31.674381541452398,0.0,True
57,2026-04-22 12:25:00,-1,0,0.7329300745292557,1.1,-0.0008671952586343,0.0001787768166821,0.0006884184419522,0.0006884184419522,final_horizon,1100.0,0.55,3.16743815414524,6.33487630829048,0.002879489231041127,0.005758978462082254,0.0,0.75726028614742,31.674381541452398,32.43164182759982,32.43164182759982,0.0,True
58,2026-04-22 12:26:00,-1,0,0.6484339071868639,1.1,-0.0003429161621087,0.0001788683408913,0.00016404782121740003,0.00016404782121740003,final_horizon,1100.0,0.55,3.243164182759982,6.486328365519964,0.0029483310752363473,0.005896662150472695,0.0,0.18045260333914004,32.43164182759982,32.61209443093896,32.61209443093896,0.0,True
59,2026-04-22 12:37:00,-1,0,0.61755232101601,1.1,-0.0003552849433792,0.0001788561383426,0.00017642880503659998,0.00017642880503659998,final_horizon,1100.0,0.55,3.2612094430938963,6.5224188861877925,0.0029647358573580873,0.005929471714716175,0.0,0.19407168554025997,32.61209443093896,32.80616611647922,32.80616611647922,0.0,True
60,2026-04-22 12:39:00,-1,0,0.576315197009693,1.1,0.0004529443492093,0.0001789788565884,-0.0006319232057977,-0.0006319232057977,final_horizon,1100.0,0.55,3.280616611647922,6.561233223295844,0.0029823787378617473,0.005964757475723495,0.0,-0.69511552637747,32.80616611647922,32.11105059010175,32.80616611647922,-2.118856326915628,False
61,2026-04-22 12:40:00,-1,0,0.5975330533981952,1.1,0.0002874414540932,0.0001789319856516,-0.0004663734397448,-0.0004663734397448,final_horizon,1100.0,0.55,3.211105059010175,6.42221011802035,0.002919186417281977,0.005838372834563954,0.0,-0.51301078371928,32.11105059010175,31.598039806382467,32.80616611647922,-3.6826196203703456,False
62,2026-04-22 12:41:00,-1,0,0.555243881736066,1.1,0.0003448230909286,0.0001789296987769,-0.0005237527897055,-0.0005237527897055,final_horizon,1100.0,0.55,3.1598039806382467,6.3196079612764935,0.002872549073307497,0.005745098146614994,0.0,-0.57612806867605,31.598039806382467,31.021911737706418,32.80616611647922,-5.4387774921268,False
63,2026-04-22 12:42:00,-1,0,0.5687656365015613,1.1,0.0012300935968017,0.0001789784904928,-0.0014090720872945001,-0.0014090720872945001,final_horizon,1100.0,0.55,3.102191173770642,6.204382347541284,0.002820173794336947,0.005640347588673894,0.0,-1.5499792960239502,31.021911737706418,29.47193244168247,32.80616611647922,-10.163435931399173,False
64,2026-04-22 12:54:00,-1,0,0.5587459136265887,1.1,0.000334794502623,0.0001788978258291,-0.0005136923284521,-0.0005136923284521,final_horizon,1100.0,0.55,2.947193244168247,5.894386488336494,0.002679266585607497,0.005358533171214994,0.0,-0.56506156129731,29.47193244168247,28.90687088038516,32.80616611647922,-11.885860792905518,False
65,2026-04-22 12:55:00,-1,0,0.5564069157310654,1.1,0.0010557786664735,0.0001788805679611,-0.0012346592344346,-0.0012346592344346,final_horizon,1100.0,0.55,2.8906870880385163,5.7813741760770325,0.0026278973527622874,0.005255794705524575,0.0,-1.35812515787806,28.90687088038516,27.5487457225071,32.80616611647922,-16.025708018747146,False
