timestamp,event,bar_time,ticket,symbol,predicted_class,confidence,probabilities,result
2026-04-23T23:11:06.238161,order_opened,1776957000,1050354968,BTCUSDm,-1,0.5761658613289867,"{""-1"": 0.5761658613289867, ""0"": 0.225975737995542, ""1"": 0.19785840067547122}","{""retcode"": 10009, ""deal"": 520456539, ""order"": 1050354968, ""volume"": 0.01, ""price"": 78102.44, ""bid"": 78102.44, ""ask"": 78116.44, ""comment"": ""lgbm-live"", ""request_id"": 1696313447, ""retcode_external"": 0, ""request"": [1, 20260423, 0, ""BTCUSDm"", 0.01, 78090.3, 0.0, 78224.5, 77821.5, 50, 1, 1, 0, 0, ""lgbm-live"", 0, 0]}"
2026-04-23T23:12:02.539788,signal_skipped,1776957060,-1,0.6164060168261478,"{""-1"": 0.6164060168261478, ""0"": 0.15195984466716392, ""1"": 0.23163413850668838}",position_already_open
2026-04-23T23:13:02.880524,signal_skipped,1776957120,-1,0.6218032418027727,"{""-1"": 0.6218032418027727, ""0"": 0.15666926743063364, ""1"": 0.22152749076659362}",position_already_open
2026-04-23T23:14:01.089490,signal_skipped,1776957180,-1,0.7507017426316309,"{""-1"": 0.7507017426316309, ""0"": 0.11303634239488597, ""1"": 0.13626191497348294}",position_already_open
2026-04-23T23:15:01.481139,signal_skipped,1776957240,-1,0.7644072407772118,"{""-1"": 0.7644072407772118, ""0"": 0.10365069097732979, ""1"": 0.13194206824545848}",position_already_open
2026-04-23T23:16:03.942313,signal_skipped,1776957300,0,0.9617687319390046,"{""-1"": 0.02026363435775186, ""0"": 0.9617687319390046, ""1"": 0.017967633703243557}",threshold_or_filter
2026-04-23T23:17:02.166092,signal_skipped,1776957360,0,0.6909377542119581,"{""-1"": 0.0907391826102868, ""0"": 0.6909377542119581, ""1"": 0.21832306317775507}",threshold_or_filter
2026-04-23T23:18:02.385598,signal_skipped,1776957420,0,0.6772817490918527,"{""-1"": 0.0980698953845146, ""0"": 0.6772817490918527, ""1"": 0.22464835552363271}",threshold_or_filter
2026-04-23T23:19:02.647147,signal_skipped,1776957480,0,0.5244922567293918,"{""-1"": 0.3716967637985009, ""0"": 0.5244922567293918, ""1"": 0.10381097947210732}",threshold_or_filter
2026-04-23T23:20:02.953431,signal_skipped,1776957540,0,0.5075289118032271,"{""-1"": 0.2307963966013888, ""0"": 0.5075289118032271, ""1"": 0.26167469159538403}",threshold_or_filter
2026-04-23T23:21:01.213640,signal_skipped,1776957600,0,0.6322262152900812,"{""-1"": 0.2875567556511717, ""0"": 0.6322262152900812, ""1"": 0.08021702905874706}",threshold_or_filter
